Rank, Name, Platform, Country, Wins, Games
1,Twitch_Svennoss,Windows,NL,3054,6616
2,Ninja,Windows,,3008,8474
3,TwitchUwatakashi,Windows,RU,2865,7738
4,Fnatic_Ettnix,Windows,SE,2820,6660
5,Twitch_PuZiiyo,Windows,TW,2553,5623
6,Chambers-,Windows,US,2541,6162
7,CT Zoning-M.K,Windows,VN,2502,8074
8,Twitch.BlooTea,Windows,US,2463,6403
9,twitch_bogdanakh,Windows,SE,2370,6541
10,Mafia WillzonePH,Windows,,2325,7942
11,Zaccubus,Windows,GB,2302,6529
12,SypherPK,Windows,US,2301,7041
13,TSM_Hamlinz,Windows,ID,2289,5617
14,Twitch_Ranger,Windows,CA,2287,6263
15,LP Zaxi,Windows,DK,2286,4460
16,Copy - BomBerMan,Windows,TH,2285,8398
17,Dark,Windows,US,2268,7804
18,OC LnNzera,Windows,BR,2253,5967
19,Jarl_Snow,Windows,DK,2243,5569
19,Liquid_Strafe,Windows,US,2243,5523
21,twitchtv_eXzacT7,Windows,HR,2222,5706
22,WFS. cRaBBLe,Windows,DE,2207,3323
23,BRC Woodpecker,Windows,BR,2196,5312
24,NV_KR,Windows,,2188,6492
25,LP Merti,Windows,RO,2154,5179
26,TE_life_YAn,Windows,BE,2149,5448
27,Solary Kinstaar,Windows,,2131,3893
28,Twitch.kegrider,Windows,CA,2114,7537
29,Hysteria,Windows,US,2062,6288
30,DeadSide_TTV,Windows,NZ,2055,6077
31,StancodTV,Windows,FR,2051,5243
32,Plan A -TLSV,Windows,ES,2046,8474
33,Allanx,Windows,ID,2028,6786
34,TLV_Kreyzi,Windows,IL,2024,4776
35,HighDistortion,Windows,,2000,9785
36,YT.Agares29,Windows,RO,1987,8103
37,TSM_Myth,Windows,US,1983,6684
38,LP Tranq,Windows,DK,1954,4977
39,Your Reason,Windows,PH,1952,9321
39,Mkers HobbitWho,Windows,IT,1952,6193
41,qoowill,Windows,TW,1939,4409
42,Knights Kilamity,Windows,US,1933,6197
43,NotVivid,Windows,US,1926,4192
44,Twitch_NateeHill,Windows,,1915,5930
45,Ä_Î±Å¡t-ÃêÎµÎ·Å_ ãƒ„,Windows,ID,1906,7834
46,CC GateM TTV,Windows,IS,1898,6215
47,KongDoo_Kyuhan,Windows,KR,1895,3636
48,Infamous Tháº¿ Anh,Windows,VN,1894,8039
49,RG Henkas,Windows,SE,1892,3981
50,BRC Losted,Windows,BR,1888,4660
51,FI.Dentos,Windows,CZ,1883,4840
52,Esselka_TV,Windows,FR,1877,5038
53,MG DapanoTV,Windows,,1867,9769
54,Twitch APEXENITH,Windows,US,1866,4387
55,FaZe SpaceLyon,Windows,PH,1865,6629
56,DrLupo,Windows,US,1853,8052
57,Twitch_Aphostle,Windows,SE,1846,4341
58,ItsWiKKiD,Windows,US,1844,4656
59,TWITCH cy0x,Windows,DE,1838,4765
60,tempt .,Windows,AU,1834,3308
61,Twitch Smartmove,Windows,PT,1832,5884
61,LinK Termitis,Windows,DE,1832,5250
61,RG Abelstan,Windows,SE,1832,4078
64,HZ lavak3,Windows,US,1824,5150
65,TE_Life_èÅ‹å“‘äºº,Windows,,1820,5538
66,BD Softe,Windows,BR,1814,8138
67,Î—ootie,Windows,US,1812,6667
68,Copy - 2 TAP,Windows,TH,1803,6797
